winning_team,country
Austria,Israel
England,England
Finland,Bahrain
Israel,Israel
Japan,Japan
Bangladesh,Bangladesh
Qatar,Bangladesh
Senegal,Senegal
Russia,Soviet Union
Hungary,Poland
Gabon,Gabon
Benin,Benin
German DR,German DR
Russia,Soviet Union
Ivory Coast,Ivory Coast
Cameroon,Cameroon
Madagascar,Madagascar
Republic of Ireland,Republic of Ireland
North Korea,Thailand
Northern Ireland,Northern Ireland
Poland,Poland
Russia,Soviet Union
German DR,Switzerland
North Korea,Thailand
North Korea,Thailand
Hong Kong,Thailand
North Korea,Thailand
North Korea,Thailand
Brazil,Brazil
England,Northern Ireland
Hungary,Soviet Union
Netherlands,Switzerland
Germany,Republic of Ireland
Scotland,Scotland
Switzerland,Switzerland
Wales,England
England,England
Germany,Iceland
Wales,Northern Ireland
Argentina,Republic of Ireland
Brazil,Brazil
Japan,Japan
German DR,German DR
Argentina,Scotland
Togo,Benin
Sweden,Sweden
Switzerland,Iceland
England,Sweden
New Zealand,New Zealand
Ecuador,Ecuador
Sweden,Sweden
Sudan,Sudan
Russia,Finland
Ivory Coast,Ivory Coast
Egypt,Egypt
Lithuania,Soviet Union
Belarus,Soviet Union
Georgia,Soviet Union
Belarus,Soviet Union
Lithuania,Soviet Union
Russia,Soviet Union
DR Congo,Benin
DR Congo,Benin
Ukraine,Soviet Union
Belarus,Soviet Union
Tanzania,Madagascar
Ukraine,Soviet Union
Russia,Soviet Union
Lithuania,Soviet Union
Madagascar,Madagascar
Brazil,Brazil
Kazakhstan,Soviet Union
Russia,Soviet Union
Ecuador,Ecuador
Brazil,Brazil
Poland,Poland
Réunion,Réunion
Mauritius,Réunion
Seychelles,Réunion
Réunion,Réunion
Mauritius,Réunion
Paraguay,Ecuador
Denmark,Finland
Poland,Poland
Comoros,Réunion
Mauritius,Réunion
Réunion,Réunion
Réunion,Réunion
Ecuador,Ecuador
Netherlands,Iceland
Russia,Soviet Union
France,Sweden
England,England
German DR,Iceland
Peru,Scotland
Poland,Switzerland
German DR,Poland
Portugal,Spain
Nigeria,Senegal
New Zealand,Bahrain
New Zealand,Bahrain
Poland,Poland
Yugoslavia,Spain
German DR,German DR
Nigeria,Benin
Russia,Soviet Union
Republic of Ireland,Republic of Ireland
England,Northern Ireland
Austria,Scotland
Benin,Ivory Coast
Ivory Coast,Ivory Coast
Togo,Ivory Coast
Ivory Coast,Ivory Coast
Togo,Ivory Coast
Niger,Ivory Coast
Togo,Ivory Coast
Republic of Ireland,Republic of Ireland
Paraguay,Brazil
Finland,Soviet Union
Portugal,Portugal
Denmark,Spain
Netherlands,German DR
Taiwan,Thailand
Northern Ireland,Northern Ireland
Austria,Portugal
Germany,Soviet Union
England,England
Thailand,Thailand
Thailand,Thailand
Sri Lanka,Thailand
Mexico,El Salvador
Belgium,Scotland
Basque Country,Spain
Spain,Spain
Ivory Coast,Cameroon
Tunisia,Ivory Coast
England,England
Morocco,Ivory Coast
German DR,Spain
Bulgaria,Kuwait
Northern Ireland,Israel
Scotland,Scotland
England,Spain
Switzerland,Switzerland
Switzerland,Switzerland
Tunisia,Senegal
Ivory Coast,Ivory Coast
German DR,German DR
Czechoslovakia,Spain
Russia,Sweden
Republic of Ireland,Republic of Ireland
Senegal,Senegal
Denmark,Sweden
England,England
Argentina,Republic of Ireland
Northern Ireland,Northern Ireland
Northern Ireland,England
Scotland,Scotland
Sweden,Finland
Russia,Soviet Union
England,Scotland
Poland,Poland
Wales,Iceland
El Salvador,El Salvador
Bulgaria,Finland
Brazil,Brazil
Japan,China PR
China PR,China PR
China PR,China PR
Russia,Brazil
Japan,China PR
Israel,Sweden
Madagascar,Madagascar
Tanzania,Madagascar
Poland,Poland
Morocco,Senegal
Brazil,Brazil
Finland,Iceland
Poland,Brazil
Cameroon,Cameroon
Iceland,Iceland
Faroe Islands,Iceland
Iceland,Iceland
Russia,Soviet Union
Somalia,Niger
Iceland,Sweden
Hungary,Spain
New Zealand,New Zealand
Brazil,Brazil
Denmark,Switzerland
Russia,Iceland
England,England
Republic of Ireland,Republic of Ireland
Scotland,Sweden
Germany,Switzerland
Mauritius,Madagascar
United Arab Emirates,Kuwait
North Korea,Kuwait
South Korea,Kuwait
Syria,Kuwait
Qatar,Kuwait
North Korea,Kuwait
Kuwait,Kuwait
Syria,Kuwait
South Korea,Kuwait
Iran,Kuwait
Malaysia,Kuwait
South Korea,Kuwait
Iran,Kuwait
Qatar,Kuwait
Syria,Kuwait
Austria,Finland
Iran,Kuwait
South Korea,Kuwait
Czechoslovakia,Poland
China PR,Kuwait
Kuwait,Kuwait
North Korea,Kuwait
South Korea,Kuwait
Kuwait,Kuwait
Iran,Kuwait
El Salvador,El Salvador
Kuwait,Kuwait
El Salvador,El Salvador
United States,Portugal
Cameroon,Cameroon
Spain,German DR
Belgium,Republic of Ireland
Northern Ireland,Northern Ireland
Russia,Soviet Union
Portugal,Scotland
Norway,Switzerland
Brazil,Brazil
Senegal,Senegal
Sweden,Israel
Poland,Spain
Tanzania,Sudan
Benin,Benin
Western Australia,Thailand
DR Congo,Madagascar
Malawi,Sudan
Senegal,Senegal
Tanzania,Sudan
England,England
German DR,German DR
Republic of Ireland,Republic of Ireland
Malawi,Sudan
Poland,Poland
Portugal,Portugal
Singapore,Thailand
Sudan,Sudan
Zanzibar,Sudan
El Salvador,El Salvador
Tanzania,Sudan
Western Australia,Thailand
Sudan,Sudan
Australia,Israel
Togo,Niger
Portugal,Portugal
Brazil,Brazil
El Salvador,El Salvador
Algeria,Sudan
Poland,Japan
Bulgaria,Ecuador
Poland,Japan
Poland,Japan
Poland,Japan
Iraq,Jordan
Iraq,Jordan
Brazil,Ecuador
Jordan,Oman
Jordan,Oman
Spain,Spain
Wales,Republic of Ireland
Scotland,Israel
Bahrain,Bahrain
Sweden,Finland
Finland,Finland
Tunisia,Bahrain
South Korea,Japan
Brazil,Brazil
Brazil,Brazil
Spain,England
Northern Ireland,Scotland
Guinea,Senegal
Brazil,Brazil
Cameroon,Cameroon
Cameroon,Cameroon
Israel,Israel
Bulgaria,Portugal
Hungary,Spain
Egypt,Egypt
South Korea,Kuwait
Kuwait,Kuwait
South Korea,Kuwait
Kuwait,Kuwait
Australia,New Zealand
Cameroon,Cameroon
Tunisia,Senegal
Thailand,Kuwait
Scotland,Scotland
Hungary,Switzerland
Romania,England
Republic of Ireland,Republic of Ireland
Kuwait,Kuwait
Northern Ireland,Northern Ireland
Poland,Poland
New Zealand,Taiwan
Morocco,Egypt
Brazil,England
Denmark,Sweden
Ecuador,Ecuador
German DR,German DR
Scotland,Scotland
Wales,England
Scotland,England
New Zealand,New Zealand
Poland,Poland
Chile,Ecuador
Germany,Finland
New Zealand,New Zealand
Switzerland,Switzerland
Niger,Niger
China PR,Japan
Sweden,Sweden
Portugal,Portugal
Sweden,Sweden
Taiwan,Taiwan
Finland,Finland
Brazil,Brazil
Kenya,Réunion
Madagascar,Réunion
Madagascar,Réunion
Mauritius,Réunion
Kenya,Réunion
DR Congo,Benin
Ghana,Benin
Kenya,Réunion
Mauritius,Réunion
El Salvador,El Salvador
Sweden,Sweden
Denmark,Finland
Sweden,Sweden
Cameroon,Cameroon
New Zealand,New Zealand
Iceland,Iceland
Madagascar,Madagascar
Switzerland,Switzerland
Finland,Finland
Germany,Poland
Zimbabwe,Swaziland
Lesotho,Swaziland
Malawi,Swaziland
Zimbabwe,Swaziland
Zimbabwe,Swaziland
Niger,Niger
Malawi,Swaziland
Iceland,Iceland
Scotland,Scotland
Czechoslovakia,Iceland
Portugal,Portugal
Russia,Soviet Union
New Zealand,China PR
New Zealand,New Zealand
Poland,German DR
Kuwait,New Zealand
Republic of Ireland,Republic of Ireland
Scotland,Northern Ireland
Sweden,Portugal
Spain,Spain
China PR,China PR
Brazil,Brazil
Israel,Israel
Russia,Soviet Union
Senegal,Senegal
Thailand,Thailand
German DR,German DR
Singapore,Thailand
Romania,Switzerland
Thailand,Thailand
Pakistan,Thailand
Poland,Poland
Thailand,Thailand
Pakistan,Thailand
England,England
Northern Ireland,Northern Ireland
Spain,Poland
Portugal,Portugal
Russia,Soviet Union
Saudi Arabia,New Zealand
Cameroon,Cameroon
Kuwait,Kuwait
Kuwait,Kuwait
New Zealand,Kuwait
Spain,Spain
Cameroon,Cameroon
Mali,Benin
Brazil,Brazil
Senegal,Senegal
Hungary,New Zealand
Ghana,Benin
Togo,Benin
Hungary,New Zealand
Benin,Benin
Ivory Coast,Benin
Burkina Faso,Benin
Nepal,Pakistan
Ivory Coast,Benin
Niger,Benin
Oman,Pakistan
Togo,Benin
Oman,Pakistan
Ghana,Benin
Niger,Benin
Sweden,Finland
Finland,Finland
Togo,Benin
Burkina Faso,Benin
England,England
Ghana,Benin
Spain,Spain
Czechoslovakia,Brazil
Iran,Iran
Switzerland,Liechtenstein
Iceland,Kuwait
Brazil,Brazil
Scotland,Scotland
Wales,Spain
Switzerland,Switzerland
Nepal,Nepal
Thailand,Nepal
German DR,German DR
El Salvador,El Salvador
Nepal,Nepal
Scotland,Northern Ireland
Spain,Spain
Cameroon,Cameroon
Singapore,Thailand
Guinea,Cameroon
Senegal,Cameroon
Brazil,Brazil
Ghana,Cameroon
Senegal,Cameroon
South Korea,Thailand
Singapore,Thailand
Russia,Soviet Union
Singapore,Thailand
Guinea,Cameroon
South Korea,Thailand
Thailand,Thailand
Singapore,Thailand
South Korea,Thailand
Switzerland,Brazil
German DR,Sweden
Scotland,Scotland
England,England
Brazil,Brazil
Italy,Switzerland
England,Scotland
England,Iceland
Japan,Japan
England,Finland
Russia,Sweden
Liechtenstein,Liechtenstein
Belgium,Spain
Brazil,Spain
Poland,Spain
Hungary,Spain
Cameroon,Spain
Scotland,Spain
England,Spain
Algeria,Spain
Honduras,Spain
Austria,Spain
Kuwait,Spain
Northern Ireland,Spain
Argentina,Spain
Brazil,Spain
Peru,Spain
Belgium,Spain
Cameroon,Spain
Russia,Spain
England,Spain
Germany,Spain
Spain,Spain
Austria,Spain
France,Spain
Northern Ireland,Spain
Hungary,Spain
Poland,Spain
Scotland,Spain
Argentina,Spain
Brazil,Spain
Cameroon,Spain
Algeria,Spain
Czechoslovakia,Spain
Yugoslavia,Spain
England,Spain
Germany,Spain
Northern Ireland,Spain
France,Spain
Poland,Spain
England,Spain
Italy,Spain
Northern Ireland,Spain
Russia,Spain
Brazil,Spain
Germany,Spain
France,Spain
Russia,Spain
Italy,Spain
England,Spain
France,Spain
Italy,Spain
Poland,Spain
Finland,Finland
Italy,Spain
China PR,China PR
Morocco,China PR
Morocco,China PR
Malaysia,Bangladesh
Mauritius,Réunion
Netherlands,Iceland
Zimbabwe,Réunion
Mauritius,Réunion
Switzerland,Switzerland
Poland,Finland
German DR,Iceland
Portugal,Finland
Zambia,Egypt
Zambia,Egypt
Portugal,Portugal
Germany,England
Republic of Ireland,Republic of Ireland
Russia,Soviet Union
Scotland,Scotland
Angola,Gabon
Togo,Senegal
Spain,Spain
Kuwait,Kuwait
Senegal,Niger
German DR,German DR
Spain,Republic of Ireland
Northern Ireland,Northern Ireland
Switzerland,Switzerland
Senegal,Senegal
England,England
Mali,Ivory Coast
Mauritania,Benin
Egypt,Egypt
Hungary,Egypt
Niger,Niger
Senegal,Senegal
Senegal,Senegal
France,Portugal
Spain,Spain
New Zealand,New Zealand
Cameroon,Cameroon
England,England
German DR,German DR
Ivory Coast,Ivory Coast
Portugal,Portugal
Egypt,Cameroon
Nigeria,Gabon
South Korea,Japan
Senegal,Senegal
Morocco,Senegal
German DR,German DR
Congo,Gabon
Congo,Benin
Poland,Poland
Togo,Benin
Greece,England
Belgium,German DR
Northern Ireland,Northern Ireland
Switzerland,Scotland
Madagascar,Madagascar
Sudan,Sudan
German DR,German DR
Hungary,Portugal
Russia,Switzerland
Finland,Poland
Egypt,Egypt
Cameroon,Cameroon
Senegal,Senegal
Benin,Benin
England,England
Northern Ireland,Northern Ireland
Russia,Soviet Union
Spain,Spain
Brazil,Brazil
German DR,Switzerland
Sweden,Sweden
Russia,Poland
Northern Ireland,Scotland
England,Northern Ireland
Egypt,Egypt
Spain,Iceland
Sweden,Sweden
Wales,Northern Ireland
England,England
Russia,Finland
Iceland,Iceland
Japan,Japan
Brazil,Portugal
Romania,Sweden
Brazil,Switzerland
Réunion,Réunion
Brazil,Sweden
Seychelles,Réunion
Niger,Niger
Faroe Islands,Greenland
Faroe Islands,Greenland
Qatar,Qatar
Mauritius,Réunion
Qatar,Qatar
Madagascar,Réunion
Mauritius,Réunion
Thailand,China PR
China PR,China PR
Colombia,Ecuador
Russia,German DR
Iceland,Iceland
Argentina,Ecuador
Algeria,Senegal
Cameroon,Cameroon
Egypt,Egypt
Malawi,Madagascar
Brazil,Ecuador
Sweden,Iceland
Sudan,Sudan
Brazil,Brazil
Sweden,Finland
Romania,Poland
Czechoslovakia,Switzerland
Argentina,Brazil
Denmark,England
Republic of Ireland,Iceland
Northern Ireland,Northern Ireland
Portugal,Portugal
Scotland,Scotland
Sweden,Sweden
Liberia,Ivory Coast
Uruguay,Israel
Togo,Ivory Coast
Ghana,Ivory Coast
Ivory Coast,Ivory Coast
Ghana,Ivory Coast
Togo,Ivory Coast
Ghana,Ivory Coast
Ivory Coast,Ivory Coast
Russia,Soviet Union
German DR,German DR
Netherlands,Republic of Ireland
Belgium,Scotland
Paraguay,Brazil
Switzerland,Switzerland
Malawi,Zanzibar
Portugal,Poland
Uruguay,Brazil
Romania,Israel
Switzerland,Switzerland
Mali,Niger
Portugal,Portugal
Mali,Niger
German DR,German DR
Republic of Ireland,Republic of Ireland
Nigeria,Senegal
Ivory Coast,Ivory Coast
Northern Ireland,Northern Ireland
Mali,Ivory Coast
Togo,Ivory Coast
Ivory Coast,Ivory Coast
Nigeria,Ivory Coast
Ivory Coast,Ivory Coast
Spain,Spain
Ivory Coast,Ivory Coast
Morocco,Ivory Coast
Senegal,Senegal
Hungary,Spain
Egypt,Egypt
Turkey,Egypt
Ivory Coast,Ivory Coast
Ivory Coast,Ivory Coast
Senegal,Ivory Coast
Ivory Coast,Ivory Coast
Mali,Ivory Coast
Ivory Coast,Ivory Coast
Senegal,Ivory Coast
Ivory Coast,Ivory Coast
Mali,Ivory Coast
Togo,Gabon
Iraq,Egypt
Scotland,Scotland
Iraq,Egypt
Egypt,Ivory Coast
Ivory Coast,Ivory Coast
Algeria,Ivory Coast
Nigeria,Ivory Coast
Cameroon,Ivory Coast
Egypt,Ivory Coast
Algeria,Ivory Coast
Nigeria,Ivory Coast
Kuwait,Kuwait
Bahrain,Oman
Togo,Ivory Coast
Cameroon,Ivory Coast
United Arab Emirates,Oman
Qatar,Oman
Nigeria,Ivory Coast
Ghana,Ivory Coast
Iraq,Oman
Kuwait,Oman
United Arab Emirates,Oman
Cameroon,Ivory Coast
Nigeria,Ivory Coast
United Arab Emirates,Oman
Saudi Arabia,Oman
Qatar,Oman
Algeria,Ivory Coast
Iraq,Oman
United Arab Emirates,Oman
Cameroon,Ivory Coast
Qatar,Oman
Iraq,Oman
Kuwait,Oman
United Arab Emirates,Oman
Qatar,Oman
Iraq,Oman
Saudi Arabia,Oman
Qatar,Oman
Kuwait,Oman
Saudi Arabia,Oman
Poland,Switzerland
German DR,German DR
Qatar,Oman
New Zealand,New Zealand
Bulgaria,Kuwait
New Zealand,New Zealand
England,England
Israel,Israel
Malaysia,New Zealand
Spain,Spain
Belgium,Poland
Sweden,Switzerland
Russia,Finland
Tanzania,Réunion
Germany,Switzerland
Poland,Republic of Ireland
Sweden,Sweden
England,Scotland
Spain,Switzerland
Finland,Finland
El Salvador,El Salvador
Japan,Japan
Russia,England
Yugoslavia,Portugal
Republic of Ireland,Japan
Denmark,Sweden
Austria,Liechtenstein
Yugoslavia,Spain
England,Brazil
Wales,Israel
Argentina,Brazil
Norway,Iceland
Brazil,Brazil
China PR,China PR
El Salvador,El Salvador
Eswatini,Swaziland
Egypt,Egypt
Senegal,Senegal
El Salvador,El Salvador
Mexico,Republic of Ireland
Mexico,German DR
Mexico,Finland
Russia,Soviet Union
Mexico,Sweden
Egypt,Egypt
German DR,German DR
Argentina,Switzerland
Israel,Israel
Hong Kong,China PR
Qatar,China PR
China PR,China PR
England,England
Poland,Finland
German DR,German DR
Iceland,Iceland
Republic of Ireland,Republic of Ireland
Northern Ireland,Northern Ireland
Qatar,China PR
Scotland,Scotland
Portugal,Sweden
China PR,China PR
Afghanistan,China PR
China PR,China PR
Qatar,China PR
Nepal,Nepal
Bangladesh,Nepal
Bangladesh,Nepal
China PR,China PR
Jordan,China PR
Nepal,Nepal
Maldives,Nepal
Bangladesh,Nepal
Ivory Coast,Niger
Nepal,Nepal
Poland,Poland
German DR,German DR
Ivory Coast,Ivory Coast
Portugal,Portugal
Northern Ireland,Northern Ireland
England,England
Poland,Poland
Scotland,Scotland
Spain,Spain
Switzerland,Switzerland
Yugoslavia,German DR
Ivory Coast,Ivory Coast
Tanzania,Sudan
Tunisia,Benin
Albania,Poland
Egypt,Egypt
China PR,China PR
Italy,Switzerland
Zimbabwe,Swaziland
Northern Ireland,Northern Ireland
Sweden,Portugal
Scotland,Scotland
Romania,Israel
Finland,Qatar
Finland,Qatar
DR Congo,Gabon
Mali,Benin
Guinea,Ivory Coast
Ecuador,El Salvador
Norway,Egypt
Israel,Israel
Norway,Egypt
Ghana,Ivory Coast
Ivory Coast,Ivory Coast
Algeria,Ivory Coast
Ivory Coast,Ivory Coast
Tunisia,Ivory Coast
Algeria,Ivory Coast
Greece,Israel
Spain,Spain
Romania,Portugal
Egypt,Ivory Coast
Cameroon,Cameroon
Iran,Iran
Italy,Republic of Ireland
Egypt,Cameroon
German DR,Ecuador
Ecuador,Ecuador
El Salvador,El Salvador
Ecuador,Ecuador
Ivory Coast,Ivory Coast
Ecuador,Ecuador
Libya,Sudan
El Salvador,El Salvador
Germany,Portugal
El Salvador,El Salvador
Republic of Ireland,Israel
England,Northern Ireland
Spain,Spain
South Korea,Nepal
Chile,Ecuador
Zimbabwe,Madagascar
Ivory Coast,Ivory Coast
Honduras,El Salvador
Jordan,Jordan
Malaysia,Nepal
Japan,Japan
Thailand,Thailand
England,England
India,Thailand
Russia,Soviet Union
Wales,Scotland
Northern Ireland,Spain
Switzerland,Switzerland
Egypt,Egypt
Iraq,Jordan
Indonesia,Thailand
Syria,Yemen AR
Bahrain,Yemen DPR
India,Bangladesh
Uruguay,Ecuador
Egypt,Egypt
Ivory Coast,Ivory Coast
Iceland,Kuwait
Bangladesh,Bangladesh
Syria,Bahrain
Bahrain,Bahrain
Bangladesh,Bangladesh
Egypt,Egypt
Kuwait,Kuwait
Qatar,Qatar
Ghana,Ivory Coast
United Arab Emirates,Bahrain
Yemen DPR,Bahrain
Syria,Kuwait
Qatar,Qatar
Togo,Senegal
German DR,German DR
Poland,Poland
Russia,Switzerland
Iraq,Kuwait
Zambia,Cameroon
Madagascar,Madagascar
Brazil,Brazil
Kuwait,Yemen AR
Indonesia,Pakistan
Peru,Brazil
North Korea,Pakistan
North Korea,Pakistan
Pakistan,Pakistan
Norway,Republic of Ireland
Sweden,Israel
Northern Ireland,Northern Ireland
Brazil,Brazil
North Korea,Pakistan
Bangladesh,Pakistan
Russia,Soviet Union
North Korea,Pakistan
Indonesia,Pakistan
Brazil,Brazil
China PR,China PR
German DR,German DR
Japan,Japan
Hong Kong,China PR
England,Finland
Sweden,Sweden
Scotland,Scotland
Uruguay,Japan
Spain,Republic of Ireland
Scotland,Iceland
Republic of Ireland,Republic of Ireland
New Zealand,New Zealand
New Zealand,New Zealand
Sweden,Sweden
Romania,Finland
New Zealand,New Zealand
Brazil,Brazil
Spain,Iceland
Paraguay,Brazil
Nigeria,Ivory Coast
Nigeria,Ivory Coast
Bolivia,Brazil
DR Congo,Réunion
DR Congo,Réunion
Malawi,Réunion
Iceland,Iceland
Morocco,Egypt
Iceland,Iceland
Hong Kong,Thailand
Russia,Soviet Union
Japan,Japan
Ivory Coast,Ivory Coast
Sweden,Sweden
Russia,Soviet Union
Turkey,Switzerland
Senegal,Senegal
Israel,Israel
Syria,Bahrain
Israel,Israel
Romania,England
German DR,German DR
Belgium,Poland
Republic of Ireland,Switzerland
Cameroon,Cameroon
Australia,New Zealand
Finland,Finland
Russia,Soviet Union
Spain,Spain
Germany,Sweden
New Zealand,New Zealand
Australia,Israel
New Zealand,New Zealand
Portugal,Portugal
Mexico,Yemen AR
England,England
Russia,Soviet Union
German DR,Scotland
Mexico,Jordan
Egypt,Egypt
Mexico,Kuwait
South Korea,Japan
New Zealand,New Zealand
Russia,Soviet Union
Israel,Israel
Northern Ireland,England
Denmark,Republic of Ireland
Norway,Switzerland
German DR,German DR
Poland,Poland
Scotland,Scotland
Austria,Spain
Gabon,Gabon
Cameroon,Gabon
Malaysia,Thailand
Congo,Gabon
Singapore,Thailand
Equatorial Guinea,Gabon
Malaysia,Thailand
Gabon,Gabon
Indonesia,Thailand
Cameroon,Gabon
Thailand,Thailand
Singapore,Thailand
Gabon,Gabon
Congo,Gabon
Malaysia,Thailand
Thailand,Thailand
Malaysia,Thailand
Cameroon,Gabon
Spain,Spain
Thailand,Thailand
Gabon,Gabon
Bangladesh,Bangladesh
India,Bangladesh
Pakistan,Bangladesh
Nepal,Bangladesh
Bangladesh,Bangladesh
India,Bangladesh
Senegal,Senegal
Nepal,Bangladesh
India,Bangladesh
Ivory Coast,Senegal
Senegal,Senegal
China PR,Qatar
Greece,Qatar
Senegal,Gabon
Finland,Portugal
Spain,Spain
Qatar,Qatar
Tunisia,Oman
Scotland,Israel
England,Egypt
Senegal,Senegal
Gambia,Senegal
Sierra Leone,Senegal
Hungary,Qatar
Mali,Senegal
Sierra Leone,Senegal
Guinea-Bissau,Senegal
Portugal,Portugal
Senegal,Senegal
Gambia,Senegal
Sierra Leone,Senegal
Sierra Leone,Senegal
Senegal,Senegal
Senegal,Senegal
Iran,Iran
German DR,Portugal
Spain,Spain
Iran,Iran
Finland,Bahrain
Finland,Bahrain
England,Israel
Paraguay,Qatar
Romania,Egypt
Paraguay,Qatar
Romania,Egypt
Indonesia,Thailand
Senegal,Egypt
Ivory Coast,Egypt
Morocco,Egypt
Paraguay,Bahrain
Cameroon,Egypt
Egypt,Egypt
Senegal,Egypt
Zambia,Egypt
Bahrain,Bahrain
Morocco,Egypt
Netherlands,German DR
Egypt,Egypt
Ivory Coast,Egypt
Cameroon,Egypt
Morocco,Egypt
Iceland,Bahrain
Cameroon,Egypt
Egypt,Egypt
Kuwait,Kuwait
Ivory Coast,Egypt
Cameroon,Egypt
Iraq,Bahrain
Qatar,Bahrain
Kuwait,Bahrain
Iraq,Bahrain
Bahrain,Bahrain
Kuwait,Bahrain
Wales,Republic of Ireland
Denmark,Northern Ireland
England,Soviet Union
Scotland,Scotland
Spain,Spain
Iraq,Bahrain
Saudi Arabia,Bahrain
Kuwait,Bahrain
Qatar,Bahrain
Saudi Arabia,Bahrain
United Arab Emirates,Bahrain
Brazil,Brazil
Kuwait,Bahrain
Oman,Bahrain
United Arab Emirates,Bahrain
Kuwait,Bahrain
United Arab Emirates,Bahrain
Saudi Arabia,Bahrain
Iraq,Bahrain
Kuwait,Bahrain
Qatar,Bahrain
Brazil,Brazil
Germany,Switzerland
Brazil,Brazil
England,England
Uruguay,Republic of Ireland
Northern Ireland,Northern Ireland
China PR,Pakistan
Pakistan,Pakistan
Pakistan,Pakistan
Botswana,Swaziland
Sri Lanka,Pakistan
China PR,Pakistan
South Korea,Pakistan
Brazil,Brazil
South Korea,Pakistan
China PR,Pakistan
Greece,Sweden
South Korea,Pakistan
Pakistan,Pakistan
Switzerland,Switzerland
Chile,Brazil
Finland,Soviet Union
Japan,Japan
Republic of Ireland,Iceland
Republic of Ireland,Iceland
China PR,China PR
Czechoslovakia,Iceland
Nepal,Nepal
Nepal,Nepal
Mauritius,Réunion
Congo,China PR
Sweden,Finland
Oman,Bahrain
Senegal,Senegal
Bahrain,Bahrain
Switzerland,Switzerland
Finland,Finland
Russia,Sweden
Oman,Oman
Bahrain,Oman
Wales,Finland
Denmark,German DR
France,Iceland
Bulgaria,Scotland
Sweden,Sweden
Russia,Iceland
Spain,Spain
Sweden,Sweden
North Korea,Poland
Romania,Israel
Sweden,Portugal
England,England
Scotland,Republic of Ireland
Poland,Poland
Gabon,Gabon
Australia,New Zealand
German DR,German DR
Russia,Soviet Union
Portugal,Switzerland
England,England
Poland,Poland
Scotland,Scotland
Spain,Spain
France,German DR
Australia,China PR
Nepal,Nepal
South Korea,Nepal
South Korea,Nepal
Greece,Portugal
Netherlands,Spain
Niger,Niger
Portugal,Portugal
Italy,Portugal
Kuwait,Kuwait
Northern Ireland,Israel
Republic of Ireland,Scotland
England,Spain
Thailand,Thailand
North Korea,Thailand
Kuwait,Kuwait
Iceland,Kuwait
Iceland,Kuwait
Ivory Coast,Ivory Coast
Poland,Poland
DR Congo,Ivory Coast
Poland,Poland
Germany,Israel
Jordan,Jordan
Czechoslovakia,Switzerland
Cameroon,Cameroon
Ivory Coast,Ivory Coast
Malta,Portugal
Senegal,Senegal
Sudan,Sudan
Cuba,Ecuador
England,Northern Ireland
Cuba,Ecuador
Iraq,Bahrain
Gabon,Gabon
Iraq,Bahrain
Madagascar,Madagascar
Cyprus,Poland
Switzerland,Switzerland
Sweden,Soviet Union
Denmark,Finland
Belgium,Republic of Ireland
Yugoslavia,Northern Ireland
Russia,Soviet Union
Honduras,El Salvador
German DR,German DR
Brazil,England
Switzerland,Switzerland
Republic of Ireland,Republic of Ireland
England,Scotland
Sweden,Sweden
Brazil,Scotland
Senegal,Japan
Brazil,Finland
Brazil,Israel
German DR,Iceland
Sweden,Sweden
Italy,Switzerland
Seychelles,Madagascar
Ecuador,Ecuador
Sweden,Switzerland
Madagascar,Madagascar
Brazil,Brazil
Madagascar,Madagascar
Cameroon,Cameroon
DR Congo,Senegal
Sudan,Sudan
Ivory Coast,Ivory Coast
Hungary,German DR
Austria,Switzerland
Poland,Poland
Sweden,Sweden
Poland,Poland
Finland,Finland
Iceland,Iceland
Republic of Ireland,Republic of Ireland
New Zealand,New Zealand
France,Soviet Union
Scotland,Scotland
German DR,German DR
Poland,Poland
Russia,Soviet Union
Spain,Spain
Portugal,Sweden
El Salvador,El Salvador
Russia,German DR
England,England
Republic of Ireland,Republic of Ireland
Netherlands,Poland
Scotland,Scotland
Spain,Spain
Italy,Switzerland
German DR,German DR
Russia,Soviet Union
Egypt,Kuwait
Republic of Ireland,Republic of Ireland
Northern Ireland,Northern Ireland
Switzerland,Portugal
Spain,Spain
Ivory Coast,Ivory Coast
Angola,Gabon
Malta,Israel
Chad,Chad
Cameroon,Chad
Brazil,Brazil
Gabon,Chad
Equatorial Guinea,Chad
Gabon,Chad
Germany,Brazil
Chad,Chad
Cameroon,Chad
Switzerland,Israel
Cameroon,Chad
Gabon,Chad
Egypt,Qatar
Finland,Spain
Sweden,Spain
Indonesia,Thailand
Czechoslovakia,Spain
Sweden,Spain
United Arab Emirates,Bahrain
Indonesia,Thailand
Jordan,Bahrain
Belgium,Israel
Thailand,Thailand
South Korea,Thailand
Bulgaria,Qatar
Bulgaria,Qatar
France,Israel
German DR,Spain
Japan,Oman
Egypt,Egypt
Romania,Israel
Romania,Israel
Poland,Israel
Mali,Benin
England,Israel
Czechoslovakia,Spain
Netherlands,England
Republic of Ireland,Republic of Ireland
Poland,Northern Ireland
Romania,German DR
Guatemala,El Salvador
Republic of Ireland,Republic of Ireland
France,Northern Ireland
Scotland,Spain
Sweden,Sweden
North Korea,China PR
Colombia,Scotland
Colombia,Finland
England,England
Northern Ireland,Northern Ireland
Republic of Ireland,Republic of Ireland
Colombia,England
Hong Kong,Nepal
Syria,Nepal
Iran,Nepal
North Korea,Nepal
England,Switzerland
Iran,Nepal
